row,job_code,role
12,1-993-1085,Coaches
17,6-10-812,Coaches
19,1-993-1074,Coaches
26,30-49-861,30-49-861
30,10-38-826,Associate
34,10-38-853,Associate
35,10-40-845,Associate
36,10-40-847,Associate
37,10-40-872,Associate
41,1-190-101,Associate
43,1-202-2002,Associate
45,1-202-2202,Associate
49,1-3-2050,Associate
52,1-580-131,Associate
53,1-580-231,Associate
54,1-584-2053,Associate
55,1-584-451,Associate
56,1-594-101,Associate
58,1-600-7310,Associate
66,1-615-8400,Associate
67,1-620-7400,Associate
70,1-625-8410,Associate
72,1-630-7400,Associate
74,1-635-7330,Associate
79,1-640-101,Associate
88,1-815-2052,Associate
89,1-903-501,Associate
90,1-903-505,Associate
91,1-903-510,Associate
92,1-903-7410,Associate
95,1-921-2053,Associate
98,1-930-1471,Associate
100,1-930-3451,Associate
111,1-976-783,Associate
114,1-990-210,Associate
115,1-990-3302,Associate
123,1-990-8320,Associate
124,1-990-8410,Associate
126,1-993-1030,Associate
128,1-993-2101,Associate
130,1-995-101,Associate
132,1-995-410,Associate
141,24-80-804,Associate
142,24-80-805,Associate
143,24-93-803,Associate
145,28-284-603,Associate
153,30-49-859,Associate
155,30-49-880,Associate
156,30-49-881,Associate
157,30-49-882,Associate
158,59-645-7310,Associate
160,59-65-266,Associate
161,6-10-812,Associate
168,10-40-867,Pharmacist
170,10-40-861,Pharmacy Managers
171,10-38-820,Team Lead
172,10-38-821,Team Lead
189,59-65-2104,Team Lead
191,71-76-121,Team Lead
192,71-76-122,Team Lead
193,71-76-123,Team Lead
