Job_Code,Employee_Count,Job_Title,Division,Department,JobCode
1-0-40296,30,Store Manager - Division 1/NHM 40296,1,0,40296
1-0-40344,29,Operations Manager 40344,1,0,40344
1-0-40421,20,Digital Coach 40421,1,0,40421
1-0-40407,19,Overnight Stocking Coach 40407,1,0,40407
1-0-40404,16,GM Coach 40404,1,0,40404
1-0-40267,16,Store Manager - Supercenter 40267,1,0,40267
1-0-40342,14,Frontend Coach 40342,1,0,40342
1-0-40419,14,Stocking 2 Coach 40419,1,0,40419
1-0-40405,14,Food and Consumables Coach 40405,1,0,40405
1-0-40413,9,AP Operations Coach 40413,1,0,40413
6-0-40556,8,ACC Coach 40556,6,0,40556
1-0-40346,7,Store Lead 40346,1,0,40346
1-0-40349,7,Fashion Coach 40349,1,0,40349
1-0-40406,4,Stocking 1 Coach 40406,1,0,40406
1-0-40301,2,Store Manager 40301,1,0,40301
