teamName,teamId,baseDivisionCode,bannerCode,workgroupId,workgroupName,jobCode,deptNumber,divNumber,jobCodeTitle,accessLevel,role,merchDeptNumbers,tlJobCode,tlJobTitle,tlDeptNumber,tlDivNumber,slJobCode,slDeptNumber,slDivNumber,slJobTitle
Fuel,1000319,1,6G,1000215,Fuel,2104,65,59,Fuel DM,"S,H",TL,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",,,,,,,,
Fuel,1000319,1,6G,1000215,Fuel,265,65,59,Fuel TA,"S,H",TA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",,,,,,,,
Fuel,1000319,1,6G,1000215,Fuel,266,65,59,Fuel SA ON,"S,H",TA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",,,,,,,,
Fuel,1000319,1,6G,1000215,Fuel,2002,202,1,Support Supv XPS,"S,H",TA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",,,,,,,,
Auto Care Center,1000340,1,A1,1000216,General Merchandise,101,10,6,Auto Care Ctr DM,"S,H",TA,"37, 42, 10",811,Auto Care Center Manager,10,6,1001,993,1,Store Manager
Auto Care Center,1000340,1,A1,1000216,General Merchandise,201,10,6,Auto Care Center TA,"S,H",TA,"37, 42, 10",101,ACC DM,10,6,811,10,6,Auto Care Center Manager
Auto Care Center,1000340,1,A1,1000216,General Merchandise,814,37,6,Auto Care Center TL,"S,H",TL,"37, 42, 10",811,Auto Care Center Manager,10,6,1001,993,1,Store Manager
Auto Care Center,1000340,1,A1,1000216,General Merchandise,823,37,6,Auto Care Ctr Serv Tech,"S,H",TA,"37, 42, 10",814,ACC Service Manager,37,6,811,10,6,Auto Care Center Manager
Auto Care Center,1000340,1,A1,1000216,General Merchandise,815,37,6,Auto Care Ctr Serv Writer,"S,H",TA,"37, 42, 10",814,ACC Service Manager,37,6,811,10,6,Auto Care Center Manager
Deli/Bakery,1000329,1,A1,1000214,Food & Consumables,983,98,27,Cake Decorator,"S,H",TA,"80, 98",7220,Deli/Bakery TL,600,1,1076,993,1,Food & Consumables Coach
Deli/Bakery,1000329,1,A1,1000214,Food & Consumables,805,80,24,Cocina Cafe Assoc,"S,H",TA,"80, 98",,,,,,,,
Deli/Bakery,1000329,1,A1,1000214,Food & Consumables,804,80,24,Cocina Cafe Mgr,"S,H",TA,"80, 98",,,,,,,,
Deli/Bakery,1000329,1,A1,1000214,Food & Consumables,101,80,24,Deli DM,"S,H",TA,"80, 98",,,,,,,,
Deli/Bakery,1000329,1,A1,1000214,Food & Consumables,7420,600,1,Deli/Bakery TA,"S,H",TA,"80, 98",7220,Deli/Bakery TL,600,1,1076,993,1,Food & Consumables Coach
Deli/Bakery,1000329,1,A1,1000214,Food & Consumables,7220,600,1,Deli/Bakery TL,"S,H",TL,"80, 98",1076,Food & Consumables Coach,993,1,1001,993,1,Store Manager
Deli/Bakery,1000329,1,A1,1000214,Food & Consumables,7310,600,1,Fresh AT Serv,"S,H",TA,"80, 98",,,,,,,,
Deli/Bakery,1000329,1,A1,1000214,Food & Consumables,131,580,1,Fresh Prod Supervisor,"S,H",TA,"80, 98",,,,,,,,
Digital,1000326,1,A1,1000227,Digital,1461,930,1,Delivery Associate,"S,H",TA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",7200,Digital TL,630,1,1099,993,1,Digtial Coach
Digital,1000326,1,A1,1000227,Digital,1471,930,1,Delivery Assoc-Last Mile,"S,H",TA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",7200,Digital TL,630,1,1099,993,1,Digtial Coach
Digital,1000326,1,A1,1000227,Digital,1401,936,1,Digital DM,"S,H",TA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",,,,,,,,
Digital,1000326,1,A1,1000227,Digital,1451,936,1,Digital Personal Shopper,"S,H",TA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",7200,Digital TL,630,1,1099,993,1,Digtial Coach
Digital,1000326,1,A1,1000227,Digital,1452,936,1,Digital Personal Shopper Overnight,"S,H",TA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 46, 47, 49, 50, 56, 57, 58, 60, 67, 69, 71, 72, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98",7200,Digital TL,630,1,1099,993,1,Digtial Coach
