composite_job_code,jobCodeTitle,teamName,workgroupName,jobCode,deptNumber,divNumber
59-65-2104,Fuel DM,Fuel,Fuel,2104,65,59
59-65-266,Fuel SA ON,Fuel,Fuel,266,65,59
1-202-2002,Support Supv XPS,Fuel,Fuel,2002,202,1
6-10-101,Auto Care Ctr DM,Auto Care Center,General Merchandise,101,10,6
24-80-805,Cocina Cafe Assoc,Deli/Bakery,Food & Consumables,805,80,24
24-80-804,Cocina Cafe Mgr,Deli/Bakery,Food & Consumables,804,80,24
24-80-101,Deli DM,Deli/Bakery,Food & Consumables,101,80,24
1-600-7310,Fresh AT Serv,Deli/Bakery,Food & Consumables,7310,600,1
1-580-131,Fresh Prod Supervisor,Deli/Bakery,Food & Consumables,131,580,1
1-930-1461,Delivery Associate,Digital,Digital,1461,930,1
1-930-1471,Delivery Assoc-Last Mile,Digital,Digital,1471,930,1
1-936-1401,Digital DM,Digital,Digital,1401,936,1
1-630-7400,MFC Team Associate,Digital,Digital,7400,630,1
1-930-1054,SFS Supervisor,Digital,Digital,1054,930,1
1-995-711,System Operator,Digital,Digital,711,995,1
1-5-101,Entertainment DM,Entertainment,General Merchandise,101,5,1
1-815-2052,Entertainment Support Mgr,Entertainment,General Merchandise,2052,815,1
1-202-2104,Adult Beverage DM,Food/Consumables,Food & Consumables,2104,202,1
1-2-101,Consumables DM,Food/Consumables,Food & Consumables,101,2,1
1-192-101,Dry Grocery DM,Food/Consumables,Food & Consumables,101,192,1
1-190-101,Food DM,Food/Consumables,Food & Consumables,101,190,1
1-640-101,OTC DM,Food/Consumables,Food & Consumables,101,640,1
1-990-510,Customer Serv Mgr Day,Front End,Front End,510,990,1
1-903-510,Customer Serv Mgr ON,Front End,Front End,510,903,1
1-903-7410,Front End Checkout TA ON,Front End,Front End,7410,903,1
1-990-505,Smokeshop Cashier Day,Front End,Front End,505,990,1
1-903-505,Smokeshop Cashier Overnight,Front End,Front End,505,903,1
1-995-101,Str Cleaning Sup Overnight,Front End,Front End,101,995,1
1-993-1030,Visiting Cashier,Front End,Front End,1030,993,1
1-11-101,Hardlines DM,Hardlines,General Merchandise,101,11,1
1-16-101,Lawn & Garden DM,Hardlines,General Merchandise,101,16,1
1-9-101,Sport Goods DM,Hardlines,General Merchandise,101,9,1
1-620-7400,Home TA Avail,Home,General Merchandise,7400,620,1
71-76-623,Academy Coach,Management,,623,76,71
71-76-622,Academy Lead,Management,,622,76,71
1-993-1079,AP Operations Coach,Management,,1079,993,1
1-993-3027,Apparel Coach,Management,,3027,993,1
6-10-811,Auto Care Center Coach,Management,,811,10,6
1-993-1099,Digtial Coach,Management,,1099,993,1
1-993-1072,Frontend Coach,Management,,1072,993,1
1-993-1074,Overnight MFC Coach,Management,,1074,993,1
1-993-1077,Stocking 1 Coach,Management,,1077,993,1
1-993-3001,Store Lead,Management,,3001,993,1
1-993-1001,Store Manager,Management,,1001,993,1
1-584-2053,Fresh CAP Team 1 Supervisor,Meat/Produce,Food & Consumables,2053,584,1
1-584-451,Fresh CAP Team 2 Supervisor,Meat/Produce,Food & Consumables,451,584,1
1-594-101,Fresh Department Manager,Meat/Produce,Food & Consumables,101,594,1
24-93-803,Meat Processor Supermerc,Meat/Produce,Food & Consumables,803,93,24
10-38-826,Rx Tech Overnight,Pharmacy,Pharmacy,826,38,10
10-38-853,State Certified Tech,Pharmacy,Pharmacy,853,38,10
6-10-812,Auto Care Ctr Trainee,Auto Care Center,General Merchandise,812,10,6
1-930-451,CAP Team Supv,Stocking Day 1,Stocking,451,930,1
1-580-231,Flex Stocking TA,Stocking Day 1,Stocking,231,580,1
