Job Code,Role,Impacted Count,Sample User,Store Number
1-0-040407,Overnight Coach Non Complex 1-0-040407,1,-,-
1-0-040413,Asset Protection Operations Coach 1-0-040413,1,-,-
1-0-40225,"Store Manager, Micro Store 40225",1,-,-
1-0-40267,"Store Manager, Academy, SC 40267",4002,-,-
1-0-40296,"Store Manager, Academy 40296",1158,-,-
1-0-40301,Store Manager - Hometown 40301,83,-,-
1-0-40321,Senior Fuel Station Manager 40321,13,-,-
1-0-40338,"Emerging Store Manager, NHM 40338",22,-,-
1-0-40339,"Emerging Store Manager, SC 40339",17,-,-
1-0-40342,Frontend Coach 40342,6506,-,-
1-0-40344,Operations Manager 40344,1497,-,-
1-0-40345,Operations Manager 40345,1,-,-
1-0-40346,Store Lead 40346,3012,-,-
1-0-40347,Store Lead 40347,1,-,-
1-0-40348,Outbound Coach 40348,36,-,-
1-0-40349,Fashion Coach 40349,3082,-,-
1-0-40386,MFC Store Lead 40386,40,-,-
1-0-40403,Inbound Coach 40403,45,-,-
1-0-40404,GM Coach 40404,8278,-,-
1-0-40405,Food and Consumables Coach 40405,8211,-,-
1-0-40406,Stocking 1 Coach 40406,2794,-,-
1-0-40407,Overnight Stocking Coach 40407,9866,-,-
1-0-40409,GM Coach 40409,2,-,-
1-0-40410,Food and Consumables Coach 40410,1,-,-
1-0-40413,AP Operations Coach 40413,4773,-,-
1-0-40419,Stocking 2 Coach 40419,5961,-,-
1-0-40420,Stocking 2 Coach 40420,2,-,-
1-0-40421,Digital Coach 40421,6441,-,-
1-0-40422,Digital Coach 40422,1,-,-
1-0-40423,Coach Trainee 40423,59,-,-
1-0-40546,AP Operations Coach Trainee 40546,1,-,-
1-0-40547,Emerging Coach 40547,1,-,-
1-0-814893,Store Project Coach 1-0-814893,227,-,-
1-0-814894,Realty Project Lead 1-0-814894,36,-,-
1-0-902941,Security Supervisor 1-0-902941,2,-,-
1-0-903060,Project Team Associate 1-0-903060,17,-,-
1-10-101,Automotive DM 1-10-101,7,-,-
1-11-201,Hardware SA 1-11-201,142,-,-
1-14-101,Housewares DM 1-14-101,62,-,-
1-14-201,Housewares SA 1-14-201,285,-,-
